305,Bikal,18.2865931,46.3343993
306,Biri,21.8509494,47.8123038
307,Birján,18.3756757,45.9974794
308,Bisse,18.2592284,45.9077627
309,Boba,17.1870848,47.1845947
310,Bocfölde,16.8440253,46.7788955
311,Boconád,20.1873111,47.6420641
312,Bócsa,19.4819774,46.6138652
313,Bocska,16.9161512,46.5561508
314,Bocskaikert,21.660948,47.645522
315,Boda,18.0478346,46.0808583
316,Bodajk,18.233096,47.3227042
317,Bodmér,18.5370275,47.4506102
318,Bodolyabér,18.1185967,46.1978846
319,Bodonhely,17.4073298,47.5649133
320,Bodony,20.0238122,47.9422866
321,Bodorfa,17.3429821,47.0759708
322,Bodrog,21.5595025,48.3009115
323,Bodroghalom,21.704878,48.3035732
324,Bodrogkeresztúr,21.3606584,48.15876
325,Bodrogkisfalud,21.3574534,48.1728331
326,Bodrogolaszi,21.5176284,48.2876507
327,Bódvalenke,20.8039563,48.5411483
328,Bódvarákó,20.7364124,48.5103419
329,Bódvaszilas,20.7315708,48.5368458
330,Bogács,20.5314509,47.9041176
331,Bogád,18.32219,46.0839252
332,Bogádmindszent,18.045186,45.906331
333,Bogdása,17.789537,45.8739175
334,Bogyiszló,18.8166969,46.3832444
335,Bogyoszló,17.1862998,47.5591812
336,Bojt,21.7347335,47.1936138
337,Bókaháza,17.1060313,46.7735923
338,Bokod,18.2420786,47.4934128
339,Bokor,19.540416,47.9336448
340,Boldog,19.6954291,47.6012001
341,Boldogasszonyfa,17.8381187,46.1794268
342,Boldogkőújfalu,21.243552,48.3192462
343,Boldogkőváralja,21.2378103,48.3382138
344,Boldva,20.7884169,48.217181
345,Bolhás,17.2718825,46.263335
346,Bolhó,17.2978502,46.0384181
347,Bóly,18.5161494,45.9692795
348,Boncodfölde,16.7384437,46.8686498
349,Bonyhád,18.532191,46.2984212
350,Bonyhádvarasd,18.4799664,46.3703376
351,Bonnya,17.9011782,46.5945518
352,Bordány,19.9217845,46.3216264
353,Borgáta,17.0798627,47.1618331
354,Borjád,18.4683599,45.9353208
355,Borota,19.2231688,46.2656791
356,Borsfa,16.7841867,46.5013238
357,Borsodbóta,20.3963817,48.2118128
358,Borsodgeszt,20.6932303,47.9576367
359,Borsodivánka,20.6554966,47.6983143
360,Borsodnádasd,20.246177,48.1230335
361,Borsodszentgyörgy,20.2033107,48.1880952
362,Borsodszirák,20.766952,48.2610547
363,Borsosberény,19.1174909,47.9763628
364,Borszörcsök,17.4037697,47.1342737
365,Borzavár,17.8288254,47.2928162
366,Bosta,18.2109851,45.9496463
367,Botpalád,22.8058874,48.0293355
368,Botykapeterd,17.8670876,46.048877
369,Bozzai,16.7652737,47.2073309
370,Bozsok,16.4886974,47.3223133
371,Bózsva,21.467721,48.4746423
372,Bő,16.81726,47.36863
373,Bőcs,20.9716444,48.0385461
374,Böde,16.7172553,46.8360466
375,Bödeháza,16.4025582,46.6411743
376,Bögöt,16.8294953,47.2520154
377,Bögöte,17.0436719,47.0873272
378,Böhönye,17.3907201,46.4077758
379,Bököny,21.7524577,47.7322591
380,Bölcske,18.9695194,46.7402601
381,Bőny,17.8674499,47.6506785
382,Börcs,17.5007155,47.6850359
383,Börzönce,16.8877338,46.5791166
384,Bősárkány,17.2493747,47.6904548
385,Bőszénfa,17.8503608,46.2298552
386,Bucsa,20.9967301,47.2042482
387,Bucsu,16.4957437,47.2620973
388,Búcsúszentlászló,16.9319687,46.787964
389,Bucsuta,16.8340991,46.5644881
390,Budajenő,18.803881,47.5554742
391,Budakalász,19.0468565,47.6192785
392,Budakeszi,18.929382,47.5099444
393,Budaörs,18.9541818,47.4600185
394,Budapest,19.0402383,47.4978789
395,Bugac,19.6821439,46.6888994
396,Bugacpusztaháza,19.6358078,46.7010781
397,Bugyi,19.1509326,47.2227504
398,Buj,21.646486,48.0990777
399,Buják,19.5450988,47.8848223
400,Buzsák,17.5774653,46.6487053
401,Bük,16.753305,47.3833959
402,Bükkábrány,20.6834042,47.8877699
403,Bükkaranyos,20.7804184,47.9853201
404,Bükkmogyorósd,20.3548777,48.1285771
405,Bükkösd,17.9960113,46.1097599
406,Bükkszék,20.1768397,47.9911313
407,Bükkszenterzsébet,20.1554581,48.0507263
408,Bükkszentkereszt,20.6300463,48.0684586
409,Bükkszentmárton,20.3278804,48.0707337
410,Bükkzsérc,20.5064046,47.9549235
411,Bürüs,17.7595024,45.9643044
412,Büssü,17.9613335,46.455304
413,Büttös,21.0053506,48.4775116
414,Cák,16.5136076,47.353935
415,Cakóháza,17.2862035,47.6962138
416,Cece,18.6291111,46.77047
417,Cégénydányád,22.538665,47.9364421
418,Cegléd,19.7977516,47.1716447
419,Ceglédbercel,19.678569,47.2150336
420,Celldömölk,17.1521883,47.2579643
421,Cered,19.9670723,48.1445255
422,Chernelházadamonya,16.8392292,47.3614432
423,Cibakháza,20.2062362,46.9590236
424,Cigánd,21.8904926,48.2572311
425,Cikó,18.5591237,46.25368
426,Cirák,17.0299729,47.4781801
427,Cún,18.0672657,45.8123831
428,Csabacsűd,20.6504324,46.8249806
429,Csabaszabadi,20.9531699,46.5746387
430,Csabdi,18.6058133,47.5228452
431,Csabrendek,17.2895632,47.0131804
432,Csáfordjánosfa,16.9516953,47.4164207
433,Csaholc,22.7288543,47.9847457
434,Csajág,18.1858906,47.0446777
435,Csákány,17.2714904,46.5406441
436,Csákánydoroszló,16.5046293,46.9752457
437,Csákberény,18.3285962,47.3488619
438,Csákvár,18.464064,47.3918045
439,Csanádalberti,20.7083426,46.3259246
440,Csanádapáca,20.8846149,46.5402011
441,Csanádpalota,20.723398,46.2440484
442,Csánig,17.0234452,47.4325669
443,Csány,19.830145,47.6473605
444,Csányoszró,17.9074456,45.8812165
445,Csanytelek,20.1135377,46.6011189
446,Csapi,17.0864805,46.5321399
447,Csapod,16.9273006,47.5187663
448,Csárdaszállás,20.9390372,46.8654818
449,Csarnóta,18.2190614,45.8943203
450,Csaroda,22.4599611,48.1599649
451,Császár,18.1393362,47.5014578
452,Császártöltés,19.1784944,46.4229794
453,Császló,22.7224995,47.9142421
454,Csátalja,18.944609,46.0365272
455,Csatár,16.8677985,46.7779861
456,Csataszög,20.3833751,47.2825945
457,Csatka,17.9772827,47.37926
458,Csávoly,19.1441018,46.194385
459,Csebény,17.9250373,46.1888329
460,Csécse,19.6252588,47.8654691
461,Csegöld,22.6805403,47.8981209
462,Csehbánya,17.684198,47.1818295
463,Csehi,16.94357,47.0368124
464,Csehimindszent,16.9556599,47.0464514
465,Csém,18.0888713,47.6821792
466,Csemő,19.697672,47.1183779
467,Csempeszkopács,16.805321,47.1549835
468,Csengele,19.8671346,46.5395807
469,Csenger,22.6794652,47.8363678
470,Csengersima,22.7303134,47.8660813
